Y,M,D,H,G(i),H_sun,T2m,WS10m,Int,,Electric Power (kW)
2020,1,4,16,0,0,5.5,12.21,0,,0.595172908
2020,1,4,17,0,0,5.5,11.93,0,,0.323028597
2020,1,4,18,0,0,5.46,11.38,0,,0.156885875
2020,1,4,19,0,0,5.26,10.55,0,,0.156885875
2020,1,4,20,0,0,5.17,9.93,0,,0.156885875
2020,1,4,21,0,0,5.09,8.62,0,,0.156885875
2020,1,4,22,0,0,4.9,6.69,0,,0.156885875
2020,1,4,23,0,0,4.64,5.17,0,,0.156885875
2020,1,5,0,0,0,4.57,5.24,0,,0.156885875
2020,1,5,1,0,0,4.6,4.62,0,,0.156885875
2020,1,5,2,0,0,4.61,3.93,0,,0.156885875
2020,1,5,3,0,0,4.66,4.34,0,,0.156885875
2020,1,5,4,0,0,4.9,4.41,0,,0.156885875
2020,1,5,5,0,0,5.28,4.55,0,,0.323028597
2020,1,5,6,0,0,5.52,5.38,0,,0.595172908
2020,1,5,7,0,0,5.71,6.28,0,,0.981274233
2020,1,5,8,0,0,6.11,7.17,0,,1.447713731
2020,1,5,9,5.31,5.76,6.56,7.72,0,,1.911261227
2020,1,5,10,160.66,9.36,6.92,7.93,0,,2.257888352
2020,1,5,11,27.45,11.08,7.09,8.28,0,,2.386876422
2020,1,5,12,15.06,10.76,7.21,8.69,0,,2.257888352
2020,1,5,13,8.86,8.44,7.15,8.62,0,,1.911261227
2020,1,5,14,5.31,4.31,7.18,8.48,0,,1.447713731
2020,1,5,15,0,0,7.17,8.41,0,,0.981274233
2020,1,5,16,0,0,7.21,8.21,0,,0.595172908
2020,1,5,17,0,0,7.23,8.07,0,,0.323028597
2020,1,5,18,0,0,7.21,8.07,0,,0.156885875
2020,1,5,19,0,0,7.02,8,0,,0.156885875
2020,1,5,20,0,0,7.1,8.07,0,,0.156885875
2020,1,5,21,0,0,7.23,7.93,0,,0.156885875
2020,1,5,22,0,0,7.32,8,0,,0.156885875
2020,1,5,23,0,0,7.39,8.21,0,,0.156885875
2020,1,6,0,0,0,7.53,8,0,,0.156885875
2020,1,6,1,0,0,7.67,7.66,0,,0.156885875
2020,1,6,2,0,0,7.7,7.31,0,,0.156885875
2020,1,6,3,0,0,7.68,7.17,0,,0.156885875
2020,1,6,4,0,0,7.57,6.97,0,,0.156885875
2020,1,6,5,0,0,7.49,6.97,0,,0.323028597
2020,1,6,6,0,0,7.4,6.9,0,,0.595172908
2020,1,6,7,0,0,7.36,6.83,0,,0.981274233
2020,1,6,8,0,0,7.33,6.97,0,,1.447713731
2020,1,6,9,16.83,5.84,7.28,6.9,0,,1.911261227
2020,1,6,10,28.34,9.46,7.32,7.03,0,,2.257888352
2020,1,6,11,23.91,11.19,7.29,7.59,0,,2.386876422
2020,1,6,12,21.25,10.89,7.25,8.14,0,,2.257888352
2020,1,6,13,19.48,8.58,7.13,8.28,0,,1.911261227
2020,1,6,14,7.97,4.45,7.01,8.76,0,,1.447713731
2020,1,6,15,0,0,6.8,8.76,0,,0.981274233
2020,1,6,16,0,0,6.66,9.03,0,,0.595172908
2020,1,6,17,0,0,6.54,9.52,0,,0.323028597
2020,1,6,18,0,0,6.32,9.93,0,,0.156885875
2020,1,6,19,0,0,6.13,10.21,0,,0.156885875
2020,1,6,20,0,0,5.94,9.93,0,,0.156885875
2020,1,6,21,0,0,5.89,9.38,0,,0.156885875
2020,1,6,22,0,0,5.97,8.83,0,,0.156885875
2020,1,6,23,0,0,6.07,8.62,0,,0.156885875
2020,1,7,0,0,0,6.21,8.55,0,,0.156885875
2020,1,7,1,0,0,6.39,8.28,0,,0.156885875
2020,1,7,2,0,0,6.74,7.86,0,,0.156885875
2020,1,7,3,0,0,7.14,6.97,0,,0.156885875
2020,1,7,4,0,0,7.43,6.14,0,,0.156885875
2020,1,7,5,0,0,7.47,5.86,0,,0.323028597
2020,1,7,6,0,0,7.43,5.66,0,,0.595172908
2020,1,7,7,0,0,7.33,6.76,0,,0.981274233
2020,1,7,8,0,0,7.2,6.34,0,,1.447713731
2020,1,7,9,80.29,5.92,7.2,5.86,0,,1.911261227
2020,1,7,10,381.62,9.56,7.19,5.31,0,,2.257888352
2020,1,7,11,193.39,11.31,7.28,5.52,0,,2.386876422
2020,1,7,12,208.18,11.02,7.32,7.24,0,,2.257888352
2020,1,7,13,78.74,8.72,7.26,8.48,0,,1.911261227
2020,1,7,14,67.15,4.6,7.17,8.97,0,,1.447713731
2020,1,7,15,0,0,7.07,9.59,0,,0.981274233
2020,1,7,16,0,0,7.11,10.21,0,,0.595172908
2020,1,7,17,0,0,7.31,10.83,0,,0.323028597
2020,1,7,18,0,0,7.37,11.45,0,,0.156885875
2020,1,7,19,0,0,7.53,13.24,0,,0.156885875
2020,1,7,20,0,0,7.58,13.66,0,,0.156885875
2020,1,7,21,0,0,7.75,13.93,0,,0.156885875
2020,1,7,22,0,0,7.86,14.07,0,,0.156885875
2020,1,7,23,0,0,8.07,13.93,0,,0.156885875
2020,1,8,0,0,0,8.31,13.66,0,,0.156885875
2020,1,8,1,0,0,8.64,13.59,0,,0.156885875
2020,1,8,2,0,0,8.98,12.97,0,,0.156885875
2020,1,8,3,0,0,9.18,12.41,0,,0.156885875
2020,1,8,4,0,0,9.34,11.86,0,,0.156885875
2020,1,8,5,0,0,9.54,11.59,0,,0.323028597
2020,1,8,6,0,0,9.54,11.38,0,,0.595172908
2020,1,8,7,0,0,9.34,10.9,0,,0.981274233
2020,1,8,8,0,0,9.19,10.34,0,,1.447713731
2020,1,8,9,61.8,6.02,8.85,9.31,0,,1.911261227
2020,1,8,10,48.84,9.67,8.59,8.76,0,,2.257888352
2020,1,8,11,17.71,11.43,8.44,8.62,0,,2.386876422
2020,1,8,12,36.31,11.16,8.24,8.69,0,,2.257888352
2020,1,8,13,79.2,8.87,8,8.62,0,,1.911261227
2020,1,8,14,260.66,4.76,7.71,8.55,0,,1.447713731
2020,1,8,15,0,0,7.36,8.41,0,,0.981274233
2020,1,8,16,0,0,7.1,8.21,0,,0.595172908
2020,1,8,17,0,0,6.91,7.79,0,,0.323028597
2020,1,8,18,0,0,6.8,7.52,0,,0.156885875
2020,1,8,19,0,0,6.88,7.31,0,,0.156885875
2020,1,8,20,0,0,6.9,7.03,0,,0.156885875
2020,1,8,21,0,0,6.77,6.76,0,,0.156885875
2020,1,8,22,0,0,6.58,6,0,,0.156885875
2020,1,8,23,0,0,6.37,5.72,0,,0.156885875
2020,1,9,0,0,0,6.22,5.59,0,,0.156885875
2020,1,9,1,0,0,6.28,5.38,0,,0.156885875
2020,1,9,2,0,0,6.31,5.24,0,,0.156885875
2020,1,9,3,0,0,6.23,4.21,0,,0.156885875
2020,1,9,4,0,0,6.04,3.17,0,,0.156885875
2020,1,9,5,0,0,5.74,2.97,0,,0.323028597
2020,1,9,6,0,0,5.59,3.93,0,,0.595172908
2020,1,9,7,0,0,5.27,5.59,0,,0.981274233
2020,1,9,8,0,0,5.05,5.86,0,,1.447713731
2020,1,9,9,14.17,6.12,4.8,5.72,0,,1.911261227
2020,1,9,10,47.87,9.78,4.69,6.34,0,,2.257888352
2020,1,9,11,36.31,11.56,4.82,7.24,0,,2.386876422
2020,1,9,12,35.42,11.3,5.28,7.59,0,,2.257888352
2020,1,9,13,17.71,9.03,6.01,7.86,0,,1.911261227
2020,1,9,14,6.2,4.92,7.5,8.14,0,,1.447713731
2020,1,9,15,0,0,8.44,10.34,0,,0.981274233
2020,1,9,16,0,0,8.53,9.72,0,,0.595172908
2020,1,9,17,0,0,8.44,9.17,0,,0.323028597
2020,1,9,18,0,0,8.37,9.03,0,,0.156885875
2020,1,9,19,0,0,8.35,8.14,0,,0.156885875
2020,1,9,20,0,0,8.05,7.72,0,,0.156885875
2020,1,9,21,0,0,7.92,7.72,0,,0.156885875
2020,1,9,22,0,0,7.84,7.93,0,,0.156885875
2020,1,9,23,0,0,7.72,7.45,0,,0.156885875
2020,1,10,0,0,0,7.58,6.83,0,,0.156885875
2020,1,10,1,0,0,7.37,5.86,0,,0.156885875
2020,1,10,2,0,0,7.09,3.66,0,,0.156885875
2020,1,10,3,0,0,6.66,3.72,0,,0.156885875
2020,1,10,4,0,0,6.02,7.17,0,,0.156885875
2020,1,10,5,0,0,5.47,7.72,0,,0.323028597
2020,1,10,6,0,0,5.02,7.31,0,,0.595172908
2020,1,10,7,0,0,5.2,7.86,0,,0.981274233
2020,1,10,8,0,0,5.09,8,0,,1.447713731
2020,1,10,9,380.43,6.22,5.17,8.14,0,,1.911261227
2020,1,10,10,349.86,9.91,5.31,7.93,0,,2.257888352
2020,1,10,11,119.37,11.7,5.44,8,0,,2.386876422
2020,1,10,12,350.96,11.46,5.54,8.48,0,,2.257888352
2020,1,10,13,133.85,9.19,5.63,9.17,0,,1.911261227
2020,1,10,14,10.63,5.09,5.66,9.66,0,,1.447713731
2020,1,10,15,0,0,5.5,9.1,0,,0.981274233
2020,1,10,16,0,0,5.12,7.72,0,,0.595172908
2020,1,10,17,0,0,4.87,6.9,0,,0.323028597
2020,1,10,18,0,0,4.63,5.45,0,,0.156885875
2020,1,10,19,0,0,4.39,4.69,0,,0.156885875
2020,1,10,20,0,0,4.14,3.79,0,,0.156885875
2020,1,10,21,0,0,3.87,2.83,0,,0.156885875
2020,1,10,22,0,0,2.94,2,0,,0.156885875
2020,1,10,23,0,0,2.14,2.62,0,,0.156885875
2020,1,11,0,0,0,2.6,3.59,0,,0.156885875
2020,1,11,1,0,0,3.84,5.38,0,,0.156885875
2020,1,11,2,0,0,4.86,6.41,0,,0.156885875
2020,1,11,3,0,0,5.61,7.17,0,,0.156885875
2020,1,11,4,0,0,6.14,7.66,0,,0.156885875
2020,1,11,5,0,0,6.27,8.62,0,,0.323028597
2020,1,11,6,0,0,6.28,9.86,0,,0.595172908
2020,1,11,7,0,0,6.63,11.45,0,,0.981274233
2020,1,11,8,0,0,6.8,11.45,0,,1.447713731
2020,1,11,9,17.71,6.34,7,12.07,0,,1.911261227
2020,1,11,10,16.83,10.04,7.18,12.76,0,,2.257888352
2020,1,11,11,22.14,11.85,7.39,13.17,0,,2.386876422
2020,1,11,12,14.17,11.62,7.55,13.24,0,,2.257888352
2020,1,11,13,14.17,9.36,7.66,13.24,0,,1.911261227
2020,1,11,14,5.31,5.26,7.68,13.24,0,,1.447713731
2020,1,11,15,0,0,7.71,13.45,0,,0.981274233
2020,1,11,16,0,0,7.75,13.66,0,,0.595172908
2020,1,11,17,0,0,7.84,13.66,0,,0.323028597
2020,1,11,18,0,0,7.97,13.66,0,,0.156885875
2020,1,11,19,0,0,8.17,14.14,0,,0.156885875
2020,1,11,20,0,0,8.36,13.93,0,,0.156885875
2020,1,11,21,0,0,8.53,13.72,0,,0.156885875
2020,1,11,22,0,0,8.65,13.66,0,,0.156885875
2020,1,11,23,0,0,8.7,13.72,0,,0.156885875
2020,1,12,0,0,0,8.63,13.59,0,,0.156885875
2020,1,12,1,0,0,8.49,12.97,0,,0.156885875
2020,1,12,2,0,0,8.42,11.72,0,,0.156885875
2020,1,12,3,0,0,8.32,10.21,0,,0.156885875
2020,1,12,4,0,0,8.21,9.1,0,,0.156885875
2020,1,12,5,0,0,8.11,8.21,0,,0.323028597
2020,1,12,6,0,0,7.91,7.38,0,,0.595172908
2020,1,12,7,0,0,7.8,7.52,0,,0.981274233
2020,1,12,8,0,0,7.66,5.93,0,,1.447713731
2020,1,12,9,46.14,6.46,7.44,4.83,0,,1.911261227
2020,1,12,10,39.85,10.18,7.33,4.14,0,,2.257888352
2020,1,12,11,69.8,12.01,7.23,4.14,0,,2.386876422
2020,1,12,12,48.71,11.78,7.27,4.07,0,,2.257888352
2020,1,12,13,35.42,9.53,7.17,3.86,0,,1.911261227
2020,1,12,14,9.74,5.44,7.01,3.38,0,,1.447713731
2020,1,12,15,0,0,6.75,3.1,0,,0.981274233
2020,1,12,16,0,0,6.39,3.38,0,,0.595172908
2020,1,12,17,0,0,6.35,3.93,0,,0.323028597
2020,1,12,18,0,0,6.43,4.48,0,,0.156885875
2020,1,12,19,0,0,6.43,4.34,0,,0.156885875
2020,1,12,20,0,0,6.4,5.59,0,,0.156885875
2020,1,12,21,0,0,6.55,6.9,0,,0.156885875
2020,1,12,22,0,0,6.53,7.79,0,,0.156885875
2020,1,12,23,0,0,6.55,7.93,0,,0.156885875
2020,1,13,0,0,0,6.57,7.45,0,,0.156885875
2020,1,13,1,0,0,6.54,7.17,0,,0.156885875
2020,1,13,2,0,0,6.44,6.97,0,,0.156885875
2020,1,13,3,0,0,6.28,6.76,0,,0.156885875
2020,1,13,4,0,0,6.22,6.69,0,,0.156885875
2020,1,13,5,0,0,6.17,6.62,0,,0.323028597
2020,1,13,6,0,0,6.07,6.62,0,,0.595172908
2020,1,13,7,0,0,6.06,6.76,0,,0.981274233
2020,1,13,8,0,0,6.04,6.41,0,,1.447713731
2020,1,13,9,132.92,6.59,6.1,6.21,0,,1.911261227
2020,1,13,10,11.51,10.32,6.37,6.28,0,,2.257888352
2020,1,13,11,170.19,12.17,6.58,6.48,0,,2.386876422
2020,1,13,12,180.13,11.96,6.63,6.97,0,,2.257888352
2020,1,13,13,128.28,9.72,6.6,7.66,0,,1.911261227
2020,1,13,14,84.8,5.63,6.51,7.59,0,,1.447713731
2020,1,13,15,0,0,6.28,7.86,0,,0.981274233
2020,1,13,16,0,0,6.01,8.48,0,,0.595172908
2020,1,13,17,0,0,5.93,9.03,0,,0.323028597
2020,1,13,18,0,0,5.79,10.21,0,,0.156885875
2020,1,13,19,0,0,5.96,10.55,0,,0.156885875
2020,1,13,20,0,0,5.93,11.17,0,,0.156885875
2020,1,13,21,0,0,5.75,11.66,0,,0.156885875
2020,1,13,22,0,0,5.75,12.41,0,,0.156885875
2020,1,13,23,0,0,5.96,13.03,0,,0.156885875
2020,1,14,0,0,0,6.3,13.45,0,,0.156885875
2020,1,14,1,0,0,6.5,14.14,0,,0.156885875
2020,1,14,2,0,0,6.77,14.62,0,,0.156885875
2020,1,14,3,0,0,7.27,14.9,0,,0.156885875
2020,1,14,4,0,0,7.88,14.48,0,,0.156885875
2020,1,14,5,0,0,8.13,13.45,0,,0.323028597
2020,1,14,6,0,0,8.08,11.45,0,,0.595172908
2020,1,14,7,0,0,8.05,9.72,0,,0.981274233
2020,1,14,8,0,0,7.92,8.97,0,,1.447713731
2020,1,14,9,36.86,6.72,7.83,9.03,0,,1.911261227
2020,1,14,10,154.55,10.48,7.85,9.45,0,,2.257888352
2020,1,14,11,247.4,12.33,7.96,9.72,0,,2.386876422
2020,1,14,12,190.69,12.14,7.96,9.31,0,,2.257888352
2020,1,14,13,152.26,9.9,7.87,8.76,0,,1.911261227
2020,1,14,14,60.34,5.82,7.69,8.76,0,,1.447713731
2020,1,14,15,0,0,7.52,9.24,0,,0.981274233
2020,1,14,16,0,0,7.55,9.86,0,,0.595172908
2020,1,14,17,0,0,7.64,10.14,0,,0.323028597
2020,1,14,18,0,0,7.7,10.48,0,,0.156885875
2020,1,14,19,0,0,7.51,12.21,0,,0.156885875
